node,ARBid,old.pa.node,old.ARBname,Genbank.ID,clade,RDP.taxonomy,Kingdom,Phylum,Order,Family,Genus,Species,Strain
0,UncM5907,1716,UncM9980,EU650264,Thermoplasmata,"Archaea;""Euryarchaeota"";Thermoplasmata;unclassified_Thermoplasmata;",Archaea,Euryarchaeota,Thermoplasmata,unclassified_Thermoplasmata,,,
1,Unc028bj,1695,Unc04iu2,AF356633,Archaea,"Archaea;""Euryarchaeota"";Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;",Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,
2,Unc01raf,1736,Unc03ul8,FJ640802,Archaea,Archaea;unclassified_Archaea;,Archaea,unclassified_Archaea,,,,,
3,Unc0289v,1694,Unc04j2n,EF586031,Bacteria,"Bacteria;""Thermotogae"";Thermotogae;Petrotogales;Petrotogaceae;Defluviitoga;",Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Defluviitoga,
4,OlnTmbo7,1600,OlsUmbo5,AJ251324,Bacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Coriobacteridae;Coriobacteriales;""Coriobacterineae"";Coriobacteriaceae;Olsenella;",Bacteria,"""Actinobacteria""",Actinobacteria,Coriobacteridae,Coriobacteriales,"""Coriobacterineae""",Coriobacteriaceae;Olsenella;
5,Unc02895,1599,Unc04j1v,DQ796861,Bacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Coriobacteridae;Coriobacteriales;""Coriobacterineae"";Coriobacteriaceae;Collinsella;",Bacteria,Actinobacteria,Actinobacteria,Coriobacteridae,Coriobacteriales,Coriobacterineae,Coriobacteriaceae;Collinsella;
6,Intnode,,,,Bacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Coriobacteridae;Coriobacteriales;""Coriobacterineae"";Coriobacteriaceae;Collinsella;",Bacteria,Actinobacteria,Actinobacteria,Coriobacteridae,Coriobacteriales,Coriobacterineae,Coriobacteriaceae;Collinsella;
7,StpS2642,1602,StrSp694,EF491960,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Streptomycineae,Streptomycetaceae;Streptomyces;
8,AooSpe30,1619,ArmSpe15,AM990810,Nocardioidaceae_1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Aeromicrobium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Propionibacterineae,Nocardioidaceae;Aeromicrobium;
9,UniEub51,1620,UniEub15,AJ009714,Nocardioidaceae_1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Propionibacterineae,Nocardioidaceae;Nocardioides;
10,Intnode,,,,Nocardioidaceae_1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Propionibacterineae,
11,VrsSpe16,1622,VerSp100,EU214938,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Verrucosispora;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae;Verrucosispora;
12,Unc02899,1623,Unc04j1z,EU132673,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micromonosporineae,Micromonosporaceae;Micromonospora;
13,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
14,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Micromonospora;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
15,RhcSp282,1612,RhoSp509,DQ279384,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Nocardiaceae;Rhodococcus;
16,RhcSp281,1613,RhoSp508,DQ310477,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Nocardiaceae;Rhodococcus;
17,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Nocardiaceae;Rhodococcus;
18,RhcSp283,1615,RhoSp510,EU293344,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Nocardiaceae;Rhodococcus;
19,DtzMari3,1611,DieMar10,X79290,Corynebacteriales,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Dietziaceae;Dietzia;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Dietziaceae;Dietzia;
20,CorOtiti,1604,I7TOtiti,X73976,Corynebacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Turicella;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae;Turicella;
21,Unc028b5,1605,Unc04j3x,FJ892780,Corynebacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae;Corynebacterium;
22,Intnode,,,,Corynebacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae;Corynebacterium;
23,CorKropp,1607,CorKrop7,Y10077,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae;Corynebacterium;
24,CorKrop3,1608,CorKropp,AY524774,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Corynebacterineae,Corynebacteriaceae;Corynebacterium;
25,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
26,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
27,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
28,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
29,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
30,Intnode,,,,Corynebacterium 1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
31,JanSpe17,1629,JnbSpe37,AB177881,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Janibacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Intrasporangiaceae;Janibacter;
32,McbSp467,1628,MctSp798,DQ279381,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Promicromonosporaceae;Isoptericola;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Promicromonosporaceae;Isoptericola;
33,Unc028bu,1637,DQ347899.1,DQ347899,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Salinibacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Salinibacterium;
34,FriSpe12,1632,FriSpe19,AF157480,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Frigoribacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Frigoribacterium;
35,Unc02894,1633,Unc04j1u,DQ521539,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;unclassified_Microbacteriaceae;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;unclassified_Microbacteriaceae;
36,CvbSpe13,1634,ClaSpe14,FJ539121,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Salinibacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Salinibacterium;
37,Intnode,,,,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Salinibacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
38,Intnode,,,,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Salinibacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
39,Intnode,,,,Microbacteriaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Salinibacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
40,LeuSpe30,1631,LcbSpe50,EF138947,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Leucobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Leucobacter;
41,McbSp484,1640,MctSp846,X95482,Microbacterium,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Microbacterium;
42,UncBa751,1639,UncB6798,AB186855,Microbacterium,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Microbacteriaceae;Microbacterium;
43,Intnode,,,,Microbacterium,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
44,Intnode,,,,Microbacterium,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
45,Intnode,,,,Microbacterium,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
46,Unc028dx,1647,Unc00eit,DQ814140,Micrococcales_1,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Dermabacteraceae;Brachybacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Dermabacteraceae;Brachybacterium;
47,Unc028az,1644,Unc04j3r,EU761860,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium;
48,Unc0288x,1645,Unc04j1i,AM697350,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycineae,Actinomycetaceae;Actinomyces;
49,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycineae,
50,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Actinomycineae;Actinomycetaceae;Actinomyces;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Actinomycineae,
51,Unc028f3,1664,Unc03ufz,EU535135,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
52,Unc028ew,1651,Unc02xqa,EU466493,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
53,Unc90634,1650,Unc02tg2,EU773246,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;unclassified_Micrococcaceae;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;unclassified_Micrococcaceae;
54,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;unclassified_Micrococcaceae;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,
55,RnbSalm2,1654,RenSal14,X51601,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
56,ArtSp726,1656,ArtS1466,EU057864,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
57,Unc75811,1649,Unc001g2,DQ125743,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
58,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
59,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
60,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
61,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
62,McsSpe39,1661,MccSpe11,EF088207,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
63,McsSp114,1658,MccSpe22,EU182882,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
64,McsSp113,1659,MccSp164,DQ223665,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
65,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
66,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Micrococcineae,Micrococcaceae;Arthrobacter;
67,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
68,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
69,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
70,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
71,Intnode,,,,Micrococcaceae,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Arthrobacter;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
72,KccBact6,1603,KnkBac10,AF060679,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Kineosporiineae;Kineosporiaceae;Kineococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,Kineosporiineae,Kineosporiaceae;Kineococcus;
73,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Kineosporiineae;Kineosporiaceae;Kineococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
74,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Kineosporiineae;Kineosporiaceae;Kineococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
75,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Actinobacteridae;Actinomycetales;Kineosporiineae;Kineosporiaceae;Kineococcus;",Bacteria,Actinobacteria,Actinobacteria,Actinobacteridae,Actinomycetales,,
76,Unc0289x,1680,Unc04j2p,EU048613,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";unclassified_""Acidimicrobineae"";",Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobineae,"unclassified_""Acidimicrobineae"";"
77,UncM5901,1677,Unc04j1t,DQ009124,Actinomarinaceae_Candidatus Actinomarina,Unclassified;,Unclassified,,,,,,
78,UncM5994,1674,UncM3798,DQ009121,Actinomarinaceae_Candidatus Actinomarina,Unclassified;,Unclassified,,,,,,
79,UncM5898,1675,Unc04j1n,DQ009118,Actinomarinaceae_Candidatus Actinomarina,Unclassified;,Unclassified,,,,,,
80,Intnode,,,,Actinomarinaceae_Candidatus Actinomarina,Unclassified;,Unclassified,,,,,,
81,Intnode,,,,Actinomarinaceae_Candidatus Actinomarina,Unclassified;,Unclassified,,,,,,
82,Unc0289t,1672,Unc04j2l,EF572793,Actinomarinaceae_Candidatus Actinomarina,"Bacteria;""Actinobacteria"";Actinobacteria;unclassified_Actinobacteria;",Bacteria,Actinobacteria,Actinobacteria,unclassified_Actinobacteria,,,
83,UncSAR43,1671,UncSAR43,AF110142,Actinomarinaceae_Candidatus Actinomarina,"Bacteria;""Actinobacteria"";Actinobacteria;unclassified_Actinobacteria;",Bacteria,Actinobacteria,Actinobacteria,unclassified_Actinobacteria,,,
84,Intnode,,,,Actinomarinaceae_Candidatus Actinomarina,"Bacteria;""Actinobacteria"";Actinobacteria;unclassified_Actinobacteria;",Bacteria,Actinobacteria,,,,,
85,Intnode,,,,Actinomarinaceae_Candidatus Actinomarina,"Bacteria;""Actinobacteria"";Actinobacteria;unclassified_Actinobacteria;",Bacteria,Actinobacteria,,,,,
86,Intnode,,,,Actinomarinaceae_Candidatus Actinomarina,"Bacteria;""Actinobacteria"";Actinobacteria;unclassified_Actinobacteria;",Bacteria,Actinobacteria,,,,,
87,Unc02897,1682,Unc04j1x,DQ499206,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Acidimicrobiaceae;Ferrimicrobium;",Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobineae,Acidimicrobiaceae;Ferrimicrobium;
88,UncM5899,1683,Unc04j1p,DQ009431,Actinobacteria,Unclassified;,Unclassified,,,,,,
89,Unc0288o,1685,Unc04j18,AM936767,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;unclassified_Iamiaceae;",Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobineae,Iamiaceae;unclassified_Iamiaceae;
90,Unc0289s,1684,Unc04j2j,EF516937,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobineae,Iamiaceae;Aquihabitans;
91,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,,,,
92,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,,,,
93,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,,,,
94,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,,,,
95,Intnode,,,,Actinobacteria,"Bacteria;""Actinobacteria"";Actinobacteria;Acidimicrobidae;Acidimicrobiales;""Acidimicrobineae"";Iamiaceae;Aquihabitans;",Bacteria,Actinobacteria,Actinobacteria,,,,
96,Intnode,,,,,,Bacteria,,,,,,
97,MclLeac6,2251,McpLeac6,AF261725,Tenericutes,"Bacteria;""Tenericutes"";Mollicutes;Entomoplasmatales;Entomoplasmataceae;unclassified_Entomoplasmataceae;",Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,unclassified_Entomoplasmataceae,
